ebm_measure_label,White,Black,Hispanic,API,AIAN,2prace
AAB_2020C - Avoidance of Antibiotic Treatment for Acute Bronchitis/Bronchiolitis (Total),0.5533980582524272,0.6875,0.4230769230769231,0.75,,
APC_TOTAL_2019 - Use of Multiple Concurrent Antipsychotics in Children and Adolescents (Total),0.0,0.0,0.0,,,
CWP_2020C - Appropriate Testing for Pharyngitis (Total),0.7312186978297162,0.45454545454545453,0.5238095238095238,0.6363636363636364,,
HDO_2020 - Use of Opioids at High Dosage,0.026058631921824105,0.0,0.047619047619047616,0.0,0.0,
"IQI_21_TOTAL_2017 - Cesarean Delivery Rate, Uncomplicated (Overall)",0.2704507512520868,0.3548387096774194,0.2641509433962264,0.32786885245901637,1.0,0.0
"IQI_34_TOTAL_2017 - Vaginal Birth After Cesarean (VBAC) Rate, All (Overall)",0.11764705882352941,0.23076923076923078,0.1,0.07692307692307693,0.0,
LBP_2020C - Use of Imaging Studies for Low Back Pain,0.7729885057471264,0.7560975609756098,0.6129032258064516,0.8823529411764706,1.0,
"NYU_EM_PCT_2016 - NYU ED Utilization Algorithm: Emergent, Primary Care Treatable",0.20148978433598183,0.2216958041958042,0.20610364683301344,0.18590551181102363,0.06666666666666667,0.33
NYU_NON_EM_2016 - NYU ED Utilization Algorithm: Non-Emergent,0.1711810089020772,0.23258715596330273,0.1978775510204082,0.16206349206349205,0.0975,0.0
UOP_NUM1_2020 - Use of Opioids from Multiple Providers (Multiple Prescribers),0.1452513966480447,0.1320754716981132,0.125,0.0,0.5,
UOP_NUM2_2020 - Use of Opioids from Multiple Providers (Multiple Pharmacies),0.036312849162011177,0.0,0.0,0.0,0.0,
UOP_NUM3_2020 - Use of Opioids from Multiple Providers (Multiple Prescribers and Multiple Pharmacies),0.01675977653631285,0.0,0.0,0.0,0.0,
URI_2020C - Appropriate Treatment for Upper Respiratory Infection,0.8942307692307693,0.8285714285714286,0.8061224489795918,0.8769230769230769,,1.0
