MN,DY,MAX,MIN,AVG,DEP,HDD,CDD,WTR,SNW,DPTH,AVG_SPD,MX_SPD,2MIN_DIR,MIN,PSBL,S-S,WX,PK_SPD,PK_DR
6,1,72,46,59,-5,6,0,0.00,0.0,0,3.9,12,290,M,M,3,@,17,280
6,2,76,54,65,1,0,0,0.00,0.0,0,5.5,21,280,M,M,2,@,24,290
6,3,77,57,67,2,0,2,0.00,0.0,0,4.6,16,260,M,M,6,@,20,250
6,4,84,60,72,7,0,7,0.00,0.0,0,3.8,15,70,M,M,5,@,18,100
6,5,83,61,72,7,0,7,0.00,0.0,0,6.9,15,100,M,M,2,@,18,120
6,6,82,62,72,6,0,7,0.02,0.0,0,8.7,24,90,M,M,4,3,29,80
6,7,82,65,74,8,0,9,0.00,0.0,0,8.1,16,230,M,M,7,@,22,220
6,8,90,71,81,15,0,16,0.01,0.0,0,9.8,20,220,M,M,5,8,24,210
6,9,92,72,82,15,0,17,0.00,0.0,0,11.5,23,170,M,M,1,@,28,180
6,10,93,64,79,12,0,14,0.37,0.0,0,15.9,37,250,M,M,4,13,52,250
6,11,74,55,65,-2,0,0,0.00,0.0,0,13.8,29,280,M,M,5,@,37,280
6,12,69,51,60,-8,5,0,0.00,0.0,0,8.5,20,330,M,M,3,@,28,320
6,13,76,55,66,-2,0,1,T,0.0,0,9.7,23,140,M,M,7,@,28,140
6,14,70,61,66,-2,0,1,0.86,0.0,0,15.0,29,130,M,M,9,13,33,130
6,15,81,63,72,3,0,7,0.00,0.0,0,5.2,16,150,M,M,9,@,22,20
6,16,83,66,75,6,0,10,0.31,0.0,0,6.8,23,280,M,M,5,18,29,290
6,17,78,60,69,-1,0,4,1.15,0.0,0,10.2,30,260,M,M,6,123,38,260
6,18,90,67,79,9,0,14,0.10,0.0,0,5.7,21,160,M,M,5,3,23,170
6,19,93,65,79,9,0,14,0.61,0.0,0,14.4,37,260,M,M,6,123,54,260
6,20,83,64,74,4,0,9,0.16,0.0,0,9.2,20,200,M,M,8,13,29,200
6,21,77,61,69,-2,0,4,0.00,0.0,0,10.0,24,280,M,M,3,1,29,270
6,22,81,62,72,1,0,7,0.00,0.0,0,6.2,16,290,M,M,3,@,23,350
6,23,78,66,72,1,0,7,T,0.0,0,7.8,18,160,M,M,8,@,24,170
6,24,84,66,75,3,0,10,0.00,0.0,0,8.0,16,40,M,M,6,@,32,30
